iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.5166,0.5579,0.5457,0.5779,0.5218,0.5543,0.5457,0.5779
0,AdaBoost,5,undersampling,0.4807,0.5613,0.4864,0.5641,0.4856,0.5722,0.4864,0.5641
0,AdaBoost,5,oversampling,0.5398,0.5332,0.5504,0.5402,0.5442,0.5308,0.5504,0.5402
0,RandomForest,5,base,0.3559,0.4069,0.3705,0.403,0.3464,0.4146,0.3705,0.403
0,RandomForest,5,undersampling,0.3803,0.4386,0.3837,0.4359,0.383,0.4468,0.3837,0.4359
0,RandomForest,5,oversampling,0.5484,0.4162,0.556,0.4115,0.5591,0.424,0.556,0.4115
0,SVM,5,base,0.4504,0.4907,0.4876,0.5171,0.4725,0.4819,0.4876,0.5171
0,SVM,5,undersampling,0.3957,0.513,0.4026,0.5128,0.3994,0.5165,0.4026,0.5128
0,SVM,5,oversampling,0.555,0.4737,0.5716,0.4828,0.5578,0.4682,0.5716,0.4828
0,GradientBoosting,5,base,0.5012,0.5545,0.5124,0.5551,0.4996,0.5543,0.5124,0.5551
0,GradientBoosting,5,undersampling,0.4881,0.5001,0.4928,0.4957,0.4909,0.5116,0.4928,0.4957
0,GradientBoosting,5,oversampling,0.5897,0.5972,0.5998,0.6069,0.5987,0.596,0.5998,0.6069
0,LogisticRegression,5,base,0.4434,0.534,0.4848,0.5627,0.4363,0.5253,0.4848,0.5627
0,LogisticRegression,5,undersampling,0.4457,0.5006,0.4508,0.5043,0.4481,0.5,0.4508,0.5043
0,LogisticRegression,5,oversampling,0.4779,0.486,0.4922,0.4943,0.4784,0.482,0.4922,0.4943
0,XGBoost,5,base,0.4092,0.4625,0.419,0.4563,0.4062,0.4722,0.419,0.4563
0,XGBoost,5,undersampling,0.4495,0.4989,0.4507,0.4957,0.4525,0.5204,0.4507,0.4957
0,XGBoost,5,oversampling,0.5741,0.4779,0.5811,0.4713,0.5926,0.4896,0.5811,0.4713
0,Lgbm,5,base,0.3878,0.4755,0.3943,0.4715,0.3855,0.4802,0.3943,0.4715
0,Lgbm,5,undersampling,0.4317,0.4977,0.4361,0.4957,0.4353,0.5091,0.4361,0.4957
0,Lgbm,5,oversampling,0.5717,0.4756,0.5786,0.4713,0.5895,0.4821,0.5786,0.4713
0,KNN,5,base,0.445,0.4915,0.4771,0.5171,0.446,0.4977,0.4771,0.5171
0,KNN,5,undersampling,0.4157,0.4982,0.4172,0.4957,0.4223,0.5231,0.4172,0.4957
0,KNN,5,oversampling,0.5704,0.3808,0.581,0.377,0.5725,0.3894,0.581,0.377
