variable,p_value
Molecular Weight,4.088975057308029e-30
Isoelectric point,2.0056553731155222e-26
Charge density,3.9939533676805915e-15
Charge,9.15539268612116e-23
Instability index,1.1521050729030377e-43
Aromaticity,5.121914497064902e-25
Aliphatic index,4.000618332213472e-06
Boman index,1.2935055211581377e-32
Hydrophobic ratio,2.169234865176945e-12
freq_A,3.813068955713874e-33
freq_C,7.759065497871038e-51
freq_D,5.168094502285967e-45
freq_E,1.5446846828564265e-41
freq_F,4.740769554795981e-41
freq_G,5.11245925546099e-45
freq_H,2.1700700820332826e-53
freq_I,2.555197052255468e-35
freq_N,3.350597242009467e-43
freq_K,2.171180606152545e-34
freq_L,4.910000340496222e-27
freq_M,4.740913315603218e-52
freq_P,5.4511283576400845e-45
freq_Q,1.1226514483446067e-43
freq_R,7.513105017041801e-47
freq_S,1.6474311558314914e-40
freq_T,4.278313773847714e-39
freq_V,1.2145577759098063e-33
freq_W,3.2846312321039477e-48
freq_Y,5.126435729590761e-41
